preset,severity,accuracy,defect_recall
tiny,0.1,0.8916666666666667,0.7833333333333333
tiny,0.2,0.9833333333333333,0.9666666666666667
tiny,0.3,1.0,1.0
tiny,0.4,1.0,1.0
tiny,0.5,1.0,1.0
tiny,0.6,1.0,1.0
tiny,0.7,1.0,1.0
tiny,0.8,1.0,1.0
tiny,0.9,1.0,1.0
tiny,1.0,1.0,1.0
small,0.1,0.6166666666666667,0.6
small,0.2,0.7166666666666667,0.7166666666666667
small,0.3,0.6916666666666667,0.6666666666666666
small,0.4,0.6666666666666666,0.7166666666666667
small,0.5,0.6583333333333333,0.7333333333333333
small,0.6,0.7583333333333333,0.8833333333333333
small,0.7,0.7,0.7166666666666667
small,0.8,0.7416666666666667,0.75
small,0.9,0.7416666666666667,0.8
small,1.0,0.725,0.7833333333333333
medium,0.1,0.8916666666666667,0.7833333333333333
medium,0.2,0.9916666666666667,0.9833333333333333
medium,0.3,1.0,1.0
medium,0.4,1.0,1.0
medium,0.5,1.0,1.0
medium,0.6,1.0,1.0
medium,0.7,1.0,1.0
medium,0.8,1.0,1.0
medium,0.9,1.0,1.0
medium,1.0,1.0,1.0
